object,burst:age_16,burst:age_50,burst:age_84,burst:metallicity_16,burst:metallicity_50,burst:metallicity_84,chisq_phot
IC1641_MC0095,0.17,0.23,0.41,0.0403,0.3129,0.7261,2.08
IC1655_MC0072,0.14,0.17,0.22,0.1060,0.4383,0.8031,1.44
IC1660_MC0095,0.10,0.13,0.17,0.1727,0.4512,0.7674,1.75
IC1662_MC0116,0.02,0.03,0.05,0.0105,0.0299,0.1256,1.29
NGC152_MC0114,1.60,3.89,10.07,0.0960,0.1762,0.5987,0.66
NGC176_MC0114,0.04,0.06,0.08,0.0029,0.0093,0.0158,0.64
NGC231_MC0114,0.13,0.17,0.22,0.0608,0.4103,0.7866,1.73
NGC256_MC0114,0.12,0.16,0.21,0.1277,0.4902,0.8301,0.79
NGC265_MC0115,0.27,0.37,0.73,0.0492,0.2099,0.5914,1.17
NGC269_MC0115,0.47,0.66,0.89,0.0646,0.1798,0.5483,0.94
NGC294_MC0115,0.47,0.71,0.91,0.0594,0.1343,0.4984,1.08
NGC306_MC0094,0.05,0.07,0.12,0.3184,0.7967,0.9417,1.64
NGC330_MC0094,0.02,0.03,0.04,0.1282,0.4511,0.6254,0.91
NGC361_MC0072,2.04,4.22,8.07,0.1607,0.2524,0.5338,2.82
NGC411_MC0095,1.08,3.21,6.59,0.0367,0.0994,0.6127,0.98
NGC422_MC0095,0.09,0.12,0.18,0.1203,0.4315,0.7610,2.11
NoName_2_MC0095,0.01,0.01,0.02,0.0085,0.0249,0.0534,0.69
NoName_33_MC0115,0.05,0.07,0.08,0.0051,0.0161,0.0455,2.99
NoName_36_MC0095,0.03,0.04,0.05,0.0019,0.0051,0.0130,3.04
NoName_7_MC0117,0.01,0.02,0.02,0.0019,0.0051,0.0117,1.34
OGLE-CL SMC  288_MC0116,0.03,0.04,0.05,0.0013,0.0045,0.0101,27.25
OGLE-CL SMC  290_MC0116,0.01,0.02,0.02,0.1214,0.2752,0.4297,3.61
OGLE-CL SMC  291_MC0116,0.01,0.01,0.02,0.0181,0.0454,0.0679,26.57
OGLE-CL SMC  311_MC0070,2.34,5.03,9.05,0.1791,0.2798,0.5976,0.82
OGLE-CL SMC  320_MC0093,2.90,5.54,9.77,0.2400,0.4119,0.6972,2.13
OGLE-CL SMC  324_MC0113,0.95,1.10,3.08,0.0968,0.5242,0.8175,1.82
OGLE-CL SMC  325_MC0113,2.33,4.31,8.51,0.1754,0.2748,0.5395,2.46
OGLE-CL SMC  332_MC0113,1.64,3.16,7.68,0.1647,0.3001,0.7289,2.02
OGLE-CL SMC  339_MC0073,0.12,0.17,0.24,0.0658,0.4279,0.8042,1.51
OGLE-CL SMC  340_MC0095,0.09,0.12,0.15,0.1781,0.4975,0.8222,1.26
OGLE-CL SMC  341_MC0072,0.09,0.11,0.17,0.1235,0.4363,0.7448,1.80
OGLE-CL SMC 220_MC0094,0.92,1.82,4.77,0.0188,0.0916,0.5931,0.72
OGLE-CL SMC 238_MC0095,0.04,0.06,0.08,0.0322,0.0867,0.4421,1.79
Sk158_MC0116,0.01,0.01,0.01,0.0011,0.0037,0.0075,4.73
[BS95] 102_MC0115,0.22,0.29,0.48,0.0500,0.2800,0.6971,4.96
[BS95] 131_MC0095,0.57,0.80,1.10,0.0383,0.1516,0.4762,0.51
[BS95] 146_MC0095,0.78,1.00,1.39,0.0168,0.1222,0.2493,5.61
[BS95] 16_MC0114,0.09,0.11,0.30,0.0082,0.3623,0.6387,5.10
[BS95] 254_MC0094,0.01,0.01,0.02,0.0054,0.0117,0.0335,0.55
[BS95] 259_MC0094,0.01,0.01,0.02,0.0077,0.0191,0.0434,1.57
[BS95] 276_MC0095,0.22,0.28,0.48,0.0789,0.3086,0.7194,0.74
[BS95] 277_MC0095,0.01,0.01,0.02,0.0081,0.0244,0.0530,1.58
[BS95] 280_MC0095,0.65,0.93,1.35,0.0093,0.0712,0.2184,6.34
[BS95] 41_MC0115,0.07,0.11,0.15,0.1771,0.5430,0.8690,1.03
[H86] 114_MC0094,0.25,0.32,0.61,0.0675,0.2527,0.6273,1.88
[H86] 117_MC0115,0.01,0.02,0.02,0.0460,0.1279,0.3525,6.49
[H86] 128_MC0094,0.18,0.24,0.34,0.0873,0.3679,0.7794,1.58
[H86] 129_MC0094,0.02,0.02,0.03,0.0688,0.2162,0.4202,1.26
[H86] 136_MC0094,1.91,4.27,6.83,0.0062,0.0269,0.0946,2.85
[H86] 145_MC0094,0.70,0.86,1.06,0.0175,0.0483,0.1247,11.39
[H86] 148_MC0094,0.98,1.26,1.66,0.0017,0.0066,0.0472,33.31
[H86] 150_MC0115,0.27,0.41,0.82,0.0294,0.1610,0.6072,2.18
[H86] 151_MC0115,0.07,0.08,0.10,0.0057,0.0158,0.0571,8.65
[H86] 155_MC0115,0.54,0.81,1.07,0.0462,0.1412,0.5525,2.27
[H86] 156_MC0094,0.02,0.04,0.06,0.0207,0.0549,0.1705,1.56
[H86] 160_MC0094,0.06,0.08,0.09,0.0752,0.3189,0.5239,2.10
[H86] 167_MC0115,0.58,0.84,1.04,0.0246,0.0742,0.2086,2.17
[H86] 171_MC0094,0.73,1.00,1.52,0.0150,0.1030,0.3437,2.15
[H86] 174_MC0115,0.06,0.08,0.10,0.0367,0.1399,0.4756,4.13
[H86] 175_MC0094,0.01,0.01,0.02,0.0088,0.0230,0.0467,0.54
[H86] 177_MC0094,0.02,0.03,0.04,0.7140,0.8750,0.9587,2.17
[H86] 190_MC0094,0.01,0.01,0.02,0.0160,0.0447,0.0726,0.82
[H86] 212_MC0117,0.27,0.37,0.60,0.0863,0.2843,0.7290,1.62
[H86] 40_MC0114,5.10,7.82,11.16,0.3546,0.5473,0.7872,1.24
[H86] 62_MC0114,0.32,0.41,0.64,0.0862,0.3294,0.6723,5.59
[H86] 68_MC0093,1.47,2.62,7.94,0.1050,0.2241,0.5181,7.08
[H86] 74_MC0114,0.06,0.07,0.09,0.0477,0.2587,0.4836,2.93
[H86] 79_MC0094,0.24,0.34,0.50,0.0883,0.3690,0.7019,3.91
[H86] 90_MC0115,0.01,0.01,0.02,0.0113,0.0322,0.0598,1.22
[H86] 91_MC0115,0.12,0.33,0.51,0.0023,0.0080,0.4206,12.27
[H86] 97_MC0115,0.17,0.23,0.32,0.1021,0.3016,0.7062,4.36
[RZ2005] 201_MC0116,0.01,0.01,0.01,0.0012,0.0032,0.0070,10.26
